"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
0,"",255,0,0,255,"","","","","","","","","","","","","","",""
1,"",255,6,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
2,"",255,12,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
3,"",255,18,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
4,"",255,24,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
5,"",255,30,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
6,"",255,36,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
7,"",255,42,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
8,"",255,48,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
9,"",255,54,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
10,"",255,60,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
11,"",255,66,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
12,"",255,72,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
13,"",255,78,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
14,"",255,84,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
15,"",255,90,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
16,"",255,96,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
17,"",255,102,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
18,"",255,108,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
19,"",255,114,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
20,"",255,120,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
21,"",255,126,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
22,"",255,132,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
23,"",255,138,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
24,"",255,144,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
25,"",255,150,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
26,"",255,156,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
27,"",255,162,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
28,"",255,168,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
29,"",255,174,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
30,"",255,180,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
31,"",255,186,0,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
